;Flux density B 2021-03-18 17:08:44;
;2021-03-18T16:08:44.000Z;
t;B;
t/s;B/T;

48 ;0.533698
48.2 ;0.532458
48.4 ;0.539371
48.6 ;0.548304
48.8 ;0.552346
49 ;0.566235
49.2 ;0.580253
49.4 ;0.588143
49.6 ;0.591534
49.8 ;0.59825
50 ;0.600532
50.2 ;0.600597
50.4 ;0.611291
50.6 ;0.622506
50.8 ;0.631504
51 ;0.633786
51.2 ;0.644154
51.4 ;0.647414
51.6 ;0.647023
51.8 ;0.646958
52 ;0.647871
52.2 ;0.651652
52.4 ;0.651848
52.6 ;0.653152
52.8 ;0.6525
53 ;0.657456
53.2 ;0.662542
53.4 ;0.665606
53.6 ;0.670431
53.8 ;0.670822
54 ;0.674083
54.2 ;0.679103
54.4 ;0.686015
54.6 ;0.692731
54.8 ;0.692861
55 ;0.695274
55.2 ;0.701925
55.4 ;0.703816
55.6 ;0.703686
55.8 ;0.703686
56 ;0.703686
56.2 ;0.70362
56.4 ;0.70362
56.6 ;0.703816
